# "t_number","t_lat","t_lon"
0,64.120146054165,16.202407418273
0,64.12101206486,16.203918115857
0,64.121784021842,16.20700807691
0,64.122144202484,16.209763811425
0,64.121621986965,16.216878797409
0,64.120423925065,16.221807702103
0,64.118651024636,16.226932740357
0,64.114615525897,16.232699714708
0,64.108625801509,16.240958228762
0,64.102520742339,16.248637028745
0,64.097008064844,16.258967579004
0,64.090879285251,16.265326634757
0,64.089333601385,16.266203281478
0,64.088204095774,16.265959125399
0,64.087338337647,16.264571284323
0,64.087133124628,16.264219396821
0,64.086049514445,16.260778096972
0,64.085003796993,16.256661205234
0,64.084081970906,16.253059070285
0,64.08252878066,16.250553996265
0,64.079299459384,16.247592250586
0,64.076279037884,16.243753287705
0,64.074417331133,16.242371651518
0,64.072848925816,16.241896342634
0,64.071474485238,16.242551021508
0,64.065783954349,16.252499716616
0,64.062416859234,16.256439978775
0,64.059863337751,16.258344457537
0,64.056145857974,16.259533405004
0,64.051052280964,16.259000272648
0,64.041938715855,16.258852537959
0,64.037422569159,16.260130012186
0,64.025728742467,16.273113605195
0,64.023757122446,16.27531019492
0,64.018169011284,16.277915875341
0,64.01590807346,16.280781435743
0,64.013386956961,16.286361509165
0,64.011251467425,16.294584706849
0,64.00698830292,16.308370022981
0,64.006068194588,16.309845732681
0,64.0029251671,16.315941342784
0,63.988253449021,16.349422059974
0,63.973915002623,16.362150341596
0,63.972171537104,16.362973253732
0,63.97018019828,16.362933686665
0,63.968318819341,16.361753523628
0,63.965463863834,16.360002743782
0,63.963853542046,16.358848336402
0,63.962112271452,16.359099739379
0,63.959611342302,16.363295207889
0,63.956744730644,16.366911253967
0,63.955264758244,16.366861254647
0,63.954371066459,16.365986424205
0,63.95379257703,16.364791477287
0,63.95303702778,16.362980974333
0,63.952137467079,16.361290132803
0,63.950672348373,16.357344114906
0,63.949375643163,16.356278224057
0,63.947725698493,16.356103073965
0,63.946224684593,16.35686916711
0,63.942397633481,16.358323685263
0,63.936819687255,16.362536848024
0,63.935509826864,16.36257205245
0,63.930862931538,16.357892928905
0,63.929091421471,16.354290660634
0,63.927904636058,16.352616339818
0,63.925617730188,16.352449535814
0,63.923746975565,16.351353301256
0,63.921816479016,16.349440849835
0,63.919864435971,16.34848604761
0,63.917363459593,16.347989468362
0,63.909331142872,16.356064504933
0,63.904757781517,16.357971064845
0,63.903461818769,16.359065798745
0,63.90111047043,16.364009012971
0,63.897171024653,16.371281642831
0,63.892509543299,16.375015444463
0,63.891491042345,16.376236693233
0,63.886108209849,16.387607444263
0,63.884443044998,16.391216239326
0,63.879883965827,16.396107151647
0,63.87593938656,16.402047173068
0,63.871898145966,16.405277701364
0,63.866493575364,16.414864965559
0,63.865223960978,16.418112145025
0,63.86380075454,16.419484553751
0,63.86025386002,16.422396653352
0,63.854036157186,16.428888610239
0,63.844334745774,16.431865121805
0,63.8432156873,16.431332188319
0,63.840145404576,16.427687545553
0,63.83866935908,16.426720269695
0,63.827759902713,16.428998915003
0,63.822692640303,16.432847209898
0,63.820984715761,16.433641870989
0,63.819504478111,16.433649558508
0,63.817853375368,16.431683841984
0,63.817100479314,16.429453943332
0,63.815575138261,16.423247972969
0,63.815081639545,16.421166256787
0,63.814903619455,16.420837528002
0,63.813242595513,16.419055387366
0,63.811361798963,16.418324323349
0,63.810189400795,16.419780766518
0,63.804997664545,16.431764277532
0,63.801654019612,16.439422023791
0,63.798854827095,16.445588748441
0,63.794902938327,16.452681475306
0,63.791333474963,16.460430233645
0,63.789229455228,16.465432385139
